2026-02-05T09:02:31.490417 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T09:02:42.771802 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-05T09:43:36.878518 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T09:43:37.038624 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T09:43:45.622358 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T09:43:46.193362 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T09:43:46.231542 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T09:46:20.413054 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T09:48:02.197680 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T09:48:28.298472 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T09:49:27.300276 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T09:49:58.335661 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T10:01:58.029128 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T10:01:58.069709 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T10:02:24.758366 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T10:11:08.829295 | 109.175.38.118 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T10:11:09.272398 | 109.175.38.118 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T10:11:11.605082 | 109.175.38.118 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T10:11:12.157911 | 109.175.38.118 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T10:11:12.441719 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
